supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-27T03:46:27.107476,Next Fixed 18m v30,24.62,5.72,,48.25,5.72,33.67,50,,
eon_next,East Midlands,DE23 6JJ,2026-01-27T03:47:38.028942,Next Fixed 18m v30,23.79,5.64,,49.08,5.64,33.75,50,,
eon_next,London,N5 2SD,2026-01-27T03:50:24.013808,Next Fixed 18m v30,24.0,5.25,,47.11,5.25,35.62,50,,
eon_next,North Wales & Merseyside,L3 2BN,2026-01-27T03:53:30.779649,Next Fixed 18m v30,25.43,5.21,,71.01,5.21,35.49,50,,
eon_next,West Midlands,SY2 6HL,2026-01-27T03:54:50.980111,Next Fixed 18m v30,23.92,5.7,,53.0,5.7,34.05,50,,
eon_next,North East,NE2 1UY,2026-01-27T03:58:11.388357,Next Fixed 18m v30,23.93,5.8,,59.86,5.8,34.15,50,,
eon_next,North West,PR4 2NB,2026-01-27T04:01:29.426133,Next Fixed 18m v30,25.06,5.24,,49.04,5.24,35.23,50,,
eon_next,South East,BN2 7HQ,2026-01-27T04:03:10.304599,Next Fixed 18m v30,25.54,5.2,,48.66,5.2,34.68,50,,
eon_next,Southern,BH6 4AS,2026-01-27T04:04:50.604449,Next Fixed 18m v30,25.19,5.32,,45.7,5.32,34.55,50,,
eon_next,South Wales,CF14 2DY,2026-01-27T04:08:19.697251,Next Fixed 18m v30,25.1,5.19,,52.75,5.19,35.35,50,,
eon_next,South West,PL9 7BS,2026-01-27T04:09:43.708377,Next Fixed 18m v30,25.19,5.25,,55.11,5.25,34.71,50,,
eon_next,Yorkshire,YO31 1DT,2026-01-27T04:11:16.616022,Next Fixed 18m v30,23.93,5.8,,59.86,5.8,34.15,50,,
eon_next,North Scotland,AB24 3EN,2026-01-27T04:14:57.304036,Next Fixed 18m v30,25.0,5.12,,62.06,5.12,35.28,50,,
eon_next,South Scotland,G20 6NQ,2026-01-27T04:20:53.734462,Next Fixed 18m v30,24.7,5.14,,57.62,5.14,35.3,50,,
british_gas,Eastern,IP4 5ET,2026-01-27T03:46:37.620515,Fixed Tariff Jan27 v2,27.011,,,48.388,5.564,33.806,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-27T03:47:41.616905,Fixed Tariff Jan27 v2,26.036,,,49.222,5.537,33.89,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-27T03:48:53.256606,Fixed Tariff Jan27 v2,26.114,,,46.193,5.775,34.709,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-27T03:51:11.526413,Fixed Tariff Jan27 v2,28.204,,,70.084,5.817,34.571,£50 per fuel,,
